OBJECTID,CommunityName,DataYear,ResidentsAge16AndOver,ResidentsEmployed,WagesLessThan5k,Wages5k_10k,Wages10k_20k,Wages20k_50k,WagesGreaterThan50k,EmployedInPrivateSector,PercentInPrivateSector,EmployedInStateGovt,PercentInStateGovt,EmployedFemales,EmployedMales,EmployedAge45Plus,EmployedAge50Plus,EmployedIn1stQtr,EmployedIn2ndQtr,EmployedIn3rdQtr,EmployedIn4thQtr,EmployedInAllQtrs,NewHires,LocalLaborMarketInfoURL,TotalWages,UnemploymentInsuranceClaimants,x,y
2937,Kodiak,2001,4579,3216,524,393,1043,1024,232,2827,0.8799999952,115,0.03999999911,1525,1691,1171,793,2810,2896,2879,2629,2314,1263,,67426206,1226,-152.3974812,57.79300136
2952,Kodiak Island Borough,2001,9136,5879,1204,722,1498,1865,590,4846,0.8199999928,267,0.05000000075,2888,2991,2045,1291,4902,5149,5084,4726,3954,2408,,130206039,1655,-152.3977209,57.79316662
2967,Kodiak Station,2001,570,203,87,31,33,48,4,161,0.7900000215,8,0.03999999911,146,57,15,5,163,158,126,120,88,79,,2478756,27,-152.5037,57.7381
2938,Kodiak,2002,4644,3239,518,438,1061,967,255,2845,0.8799999952,112,0.02999999933,1546,1693,1225,827,2791,2882,2938,2693,2338,1263,,68402390,1245,-152.3974812,57.79300136
2953,Kodiak Island Borough,2002,9050,5783,1141,729,1501,1754,658,4707,0.8100000024,288,0.05000000075,2833,2950,2107,1341,4806,5034,5106,4700,3944,2327,,133130069,1656,-152.3977209,57.79316662
2968,Kodiak Station,2002,504,165,70,25,26,39,5,132,0.8000000119,4,0.01999999955,136,29,7,2,125,121,112,106,72,73,,2237764,19,-152.5037,57.7381
2939,Kodiak,2003,4624,3162,497,367,896,1115,287,2780,0.8799999952,111,0.03999999911,1517,1645,1254,836,2764,2825,2842,2595,2297,1165,,71691626,1205,-152.3974812,57.79300136
2954,Kodiak Island Borough,2003,8930,5633,1055,652,1292,1902,732,4498,0.8000000119,301,0.05000000075,2779,2854,2159,1385,4772,4925,4968,4577,3923,2041,,138545588,1618,-152.3977209,57.79316662
2969,Kodiak Station,2003,447,154,62,31,23,35,3,116,0.75,7,0.05000000075,128,26,7,2,120,117,105,94,68,58,,2009819,23,-152.5037,57.7381
2940,Kodiak,2004,4586,3131,478,356,951,1063,283,2750,0.8799999952,108,0.02999999933,1514,1617,1265,859,2665,2795,2814,2589,2193,1149,,70798369,1126,-152.3974812,57.79300136
2955,Kodiak Island Borough,2004,8988,5690,1084,618,1399,1868,721,4532,0.8000000119,292,0.05000000075,2845,2845,2227,1458,4617,4979,4919,4626,3705,2096,,138522170,1542,-152.3977209,57.79316662
2970,Kodiak Station,2004,409,135,57,19,32,26,1,106,0.7900000215,4,0.02999999933,115,20,9,2,95,111,96,84,57,57,,1627766,16,-152.5037,57.7381
