OBJECTID,CommunityName,DataYear,ResidentsAge16AndOver,ResidentsEmployed,WagesLessThan5k,Wages5k_10k,Wages10k_20k,Wages20k_50k,WagesGreaterThan50k,EmployedInPrivateSector,PercentInPrivateSector,EmployedInStateGovt,PercentInStateGovt,EmployedFemales,EmployedMales,EmployedAge45Plus,EmployedAge50Plus,EmployedIn1stQtr,EmployedIn2ndQtr,EmployedIn3rdQtr,EmployedIn4thQtr,EmployedInAllQtrs,NewHires,LocalLaborMarketInfoURL,TotalWages,UnemploymentInsuranceClaimants,x,y
1,Adak,2016,60,38,6,4,4,7,17,28,0.7400000095,2,0.05000000075,18,20,19,15,32,33,34,34,26,16,http://live.laborstats.alaska.gov/alari/index.cfm?r=6&b=2&p=1&goplace=go,1590169,6,-176.6402959,51.86824598
2,Akhiok,2016,52,36,11,9,3,12,1,18,0.5,1,0.02999999933,18,18,9,8,22,26,27,31,18,20,http://live.laborstats.alaska.gov/alari/index.cfm?r=2&b=14&p=2&goplace=go,570380,6,-154.1732455,56.94681464
3,Akiachak,2016,456,283,116,33,50,64,20,101,0.3600000143,0,0,145,138,92,62,192,195,225,214,136,142,http://live.laborstats.alaska.gov/alari/index.cfm?r=6&b=4&p=3&goplace=go,4545048,75,-161.4490947,60.91380831
4,Akiak,2016,241,183,70,32,41,36,4,50,0.2700000107,0,0,95,88,62,54,129,134,146,133,90,82,http://live.laborstats.alaska.gov/alari/index.cfm?r=6&b=4&p=4&goplace=go,2348974,58,-161.2300017,60.90749213
5,Akutan,2016,176,167,10,8,17,111,21,134,0.8000000119,2,0.009999999776,61,106,88,69,163,159,154,148,145,31,http://live.laborstats.alaska.gov/alari/index.cfm?r=6&b=1&p=5&goplace=go,5614632,63,-165.7735393,54.13431811
6,Alakanuk,2016,432,289,117,51,53,54,14,203,0.6999999881,3,0.009999999776,147,142,84,51,166,216,240,183,118,141,http://live.laborstats.alaska.gov/alari/index.cfm?r=6&b=15&p=6&goplace=go,3968287,94,-164.6675476,62.68697714
7,Alaska,2016,507610,310233,42094,24750,38931,101497,102972,240922,0.7799999714,24932,0.07999999821,151814,158418,122801,93810,264885,278778,275290,261026,223474,102228,http://live.laborstats.alaska.gov/alari/index.cfm?r=0&b=0&p=0&goplace=go,13572000299,37187,-151.9196581,65.8140478
8,Alatna,2016,13,11,3,1,5,2,0,0,0,0,0,6,5,4,4,8,10,10,9,8,6,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&b=29&p=7&goplace=go,131620,5,-152.701315,66.55452803
9,Alcan Border,2016,16,5,1,2,0,0,2,5,1,0,0,2,3,1,1,2,3,4,4,2,3,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&b=25&p=8&goplace=go,209628,0,-141.010596,62.62210719
10,Aleknagik,2016,166,90,23,5,21,21,20,45,0.5,6,0.0700000003,43,47,27,24,62,69,73,74,53,38,http://live.laborstats.alaska.gov/alari/index.cfm?r=6&b=7&p=9&goplace=go,2541696,10,-158.621625,59.27920737
11,Aleutians East Borough,2016,1083,698,102,53,96,311,136,455,0.6499999762,9,0.009999999776,345,353,337,260,620,612,597,572,501,192,http://live.laborstats.alaska.gov/alari/index.cfm?r=6&b=1&p=0&goplace=go,22456574,153,-160.4821141,55.34451099
12,Aleutians West Census Area,2016,2557,2094,147,121,324,760,742,1645,0.7900000215,34,0.01999999955,828,1266,1098,840,1939,1962,1891,1749,1602,484,http://live.laborstats.alaska.gov/alari/index.cfm?r=6&b=2&p=0&goplace=go,95382061,443,-178.3388,51.9594
13,Allakaket,2016,128,96,45,16,15,14,6,30,0.3100000024,1,0.009999999776,46,50,36,29,61,77,71,64,39,59,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&b=29&p=11&goplace=go,1290054,13,-152.6494805,66.56004842
14,Ambler,2016,191,127,27,8,17,35,40,85,0.6700000167,2,0.01999999955,58,69,53,40,87,102,109,102,65,74,http://live.laborstats.alaska.gov/alari/index.cfm?r=4&b=20&p=12&goplace=go,4750739,34,-157.8565278,67.08647078
15,Anaktuvuk Pass,2016,222,147,35,18,26,31,37,36,0.2399999946,1,0.009999999776,72,75,47,37,112,118,123,108,83,56,http://live.laborstats.alaska.gov/alari/index.cfm?r=4&b=19&p=13&goplace=go,4397733,24,-151.7358661,68.14185077
16,Anchor Point,2016,1685,781,124,78,111,241,227,598,0.7699999809,28,0.03999999911,378,403,375,300,633,693,679,634,522,231,http://live.laborstats.alaska.gov/alari/index.cfm?r=2&b=12&p=14&goplace=go,31323435,126,-151.8340149,59.7764369
17,Anchorage,2016,209749,131946,14369,9151,15765,45840,46827,112113,0.8500000238,9151,0.0700000003,65954,65992,50030,37966,117007,120459,118643,114120,100564,42123,http://live.laborstats.alaska.gov/alari/index.cfm?r=1&b=3&p=15&goplace=go,6336780054,12303,-149.8948474,61.21627757
18,Anchorage/Mat-Su Economic Region,2016,280101,171805,19535,12258,20763,57846,61411,144942,0.8399999738,11739,0.0700000003,84379,87426,65673,49680,150816,156080,154127,147942,129263,55200,http://live.laborstats.alaska.gov/alari/index.cfm?r=1&b=3&p=15&goplace=go,8162753908,17705,,
19,Anderson,2016,166,89,16,3,9,16,45,57,0.6399999857,3,0.02999999933,34,55,51,38,76,82,80,70,64,33,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&b=6&p=16&goplace=go,4798340,6,-149.1907816,64.34335795
20,Angoon,2016,308,181,51,35,33,43,19,88,0.4900000095,3,0.01999999955,73,108,84,66,120,132,157,129,92,75,http://live.laborstats.alaska.gov/alari/index.cfm?r=5&b=10&p=17&goplace=go,3708893,62,-134.5808463,57.4995695
21,Aniak,2016,388,254,59,33,32,80,50,138,0.5400000215,14,0.05999999866,125,129,89,67,196,213,207,197,145,118,http://live.laborstats.alaska.gov/alari/index.cfm?r=6&b=4&p=18&goplace=go,7600173,46,-159.5275949,61.57876388
22,Anvik,2016,56,42,14,6,8,8,6,14,0.3300000131,0,0,18,24,17,16,32,37,33,36,25,21,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&b=29&p=19&goplace=go,881796,12,-160.1993288,62.65252995
23,Arctic Village,2016,117,82,36,10,17,13,6,16,0.200000003,1,0.009999999776,33,49,22,15,39,71,64,54,29,46,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&b=29&p=20&goplace=go,1230719,45,-145.5355408,68.12846168
24,Atka,2016,48,39,9,5,3,16,6,20,0.5099999905,0,0,16,23,17,13,31,34,32,33,24,16,http://live.laborstats.alaska.gov/alari/index.cfm?r=6&b=2&p=21&goplace=go,1025446,11,-174.2001988,52.19780764
25,Atmautluak,2016,216,141,45,34,32,22,8,46,0.3300000131,0,0,74,67,53,40,112,122,121,117,94,58,http://live.laborstats.alaska.gov/alari/index.cfm?r=6&b=4&p=22&goplace=go,2102647,34,-162.2764121,60.85729827
26,Atqasuk,2016,158,113,31,13,15,28,26,16,0.1400000006,0,0,45,68,36,22,78,93,97,96,63,44,http://live.laborstats.alaska.gov/alari/index.cfm?r=4&b=19&p=23&goplace=go,3277583,7,-157.4235473,70.48213652
27,Badger,2016,12861,7695,895,593,899,2519,2790,6281,0.8199999928,648,0.07999999821,3693,4002,2867,2113,6617,7022,6855,6476,5584,2571,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&b=8&p=25&goplace=go,334343025,854,-147.412615,64.80456701
28,Barrow,2016,2913,2117,241,98,197,548,1033,921,0.4399999976,22,0.009999999776,1058,1059,770,604,1812,1847,1874,1747,1489,721,http://live.laborstats.alaska.gov/alari/index.cfm?r=4&b=19&p=26&goplace=go,112598189,180,-156.7610097,71.28939773
29,Bear Creek,2016,1545,975,119,85,118,358,295,726,0.7400000095,134,0.1400000006,444,531,426,340,803,871,858,782,667,305,http://live.laborstats.alaska.gov/alari/index.cfm?r=2&b=12&p=27&goplace=go,37312621,152,-149.4023031,60.16854457
30,Beaver,2016,54,44,17,10,8,7,2,10,0.2300000042,1,0.01999999955,16,28,16,13,32,34,40,33,26,13,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&b=29&p=28&goplace=go,568612,8,-147.3971488,66.36034846
31,Beluga,2016,16,5,1,0,1,1,2,5,1,0,0,1,4,1,1,5,4,4,3,3,1,http://live.laborstats.alaska.gov/alari/index.cfm?r=2&b=12&p=29&goplace=go,263134,1,-151.0430362,61.17214851
32,Bethel Census Area,2016,11834,7923,2431,916,1139,1983,1454,4149,0.5199999809,338,0.03999999911,3849,4074,2741,2039,6087,6441,6569,6166,4678,3359,http://live.laborstats.alaska.gov/alari/index.cfm?r=6&b=4&p=0&goplace=go,207050377,1667,-160.1534,60.9289
33,Bethel,2016,3861,2677,359,171,242,840,1065,1876,0.6999999881,287,0.1099999994,1384,1293,979,735,2340,2322,2296,2231,1900,890,http://live.laborstats.alaska.gov/alari/index.cfm?r=6&b=4&p=30&goplace=go,122267077,323,-161.7717709,60.7911992
34,Bettles,2016,19,13,3,1,0,2,7,9,0.6899999976,0,0,4,9,9,7,11,10,10,12,9,7,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&b=29&p=31&goplace=go,623361,1,-151.5083559,66.92186904
35,Big Delta,2016,370,155,22,15,24,44,50,125,0.8100000024,8,0.05000000075,68,87,79,57,123,135,138,120,94,62,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&b=25&p=32&goplace=go,5995821,16,-145.8345557,64.14721319
36,Big Lake,2016,2664,1343,188,120,168,406,461,1150,0.8600000143,57,0.03999999911,608,735,622,474,1108,1166,1178,1133,919,477,http://live.laborstats.alaska.gov/alari/index.cfm?r=1&b=17&p=33&goplace=go,58585852,256,-149.8191587,61.55227873
37,Birch Creek,2016,22,16,10,1,1,4,0,4,0.25,0,0,8,8,6,4,8,8,14,13,7,10,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&b=29&p=34&goplace=go,147982,3,-145.8179463,66.2629693
38,Brevig Mission,2016,248,174,54,22,37,46,15,73,0.4199999869,2,0.009999999776,89,85,50,39,126,142,145,134,95,87,http://live.laborstats.alaska.gov/alari/index.cfm?r=4&b=18&p=35&goplace=go,3282151,53,-166.4922015,65.33448805
39,Bristol Bay Borough,2016,690,415,67,36,55,113,144,272,0.6600000262,24,0.05999999866,200,215,205,166,330,374,354,338,274,137,http://live.laborstats.alaska.gov/alari/index.cfm?r=6&b=5&p=0&goplace=go,16186437,50,-157.0172713,58.72733453
