OBJECTID,CommunityName,DataYear,ResidentsAge16AndOver,ResidentsEmployed,WagesLessThan5k,Wages5k_10k,Wages10k_20k,Wages20k_50k,WagesGreaterThan50k,EmployedInPrivateSector,PercentInPrivateSector,EmployedInStateGovt,PercentInStateGovt,EmployedFemales,EmployedMales,EmployedAge45Plus,EmployedAge50Plus,EmployedIn1stQtr,EmployedIn2ndQtr,EmployedIn3rdQtr,EmployedIn4thQtr,EmployedInAllQtrs,NewHires,LocalLaborMarketInfoURL,TotalWages,UnemploymentInsuranceClaimants,x,y
594,Anchorage,2001,181613,118312,19086,11037,18498,47595,22103,99809,0.8399999738,8089,0.0700000003,58195,60116,36886,21959,101678,105374,104820,100040,84803,48658,,3721084534,13758,-149.8948474,61.21627757
595,Anchorage,2002,184129,119746,18572,10963,18303,48483,23434,100353,0.8399999738,8547,0.0700000003,59187,60559,38771,23441,103141,107416,106464,101428,86896,43588,,3860409202,15513,-149.8948474,61.21627757
596,Anchorage,2003,187255,121006,18418,10963,17925,48899,24809,101519,0.8399999738,8435,0.0700000003,59949,61057,40678,25122,104527,108202,107404,102618,87896,42566,,3985450550,16422,-149.8948474,61.21627757
597,Anchorage,2004,188722,121958,17804,10985,17734,48997,26441,102499,0.8399999738,8345,0.0700000003,60698,61260,42133,26664,104657,109316,108596,104122,88639,43446,,4151574482,15376,-149.8948474,61.21627757
774,Barrow,2001,2827,2243,375,204,217,744,703,993,0.4399999976,20,0.009999999776,1078,1165,710,428,1890,1934,1931,1801,1492,839,,82784708,328,-156.7610097,71.28939773
775,Barrow,2002,2810,2135,349,186,201,731,668,902,0.4199999869,24,0.009999999776,1021,1114,731,433,1803,1872,1845,1693,1421,759,,80953749,387,-156.7610097,71.28939773
776,Barrow,2003,2807,2106,369,192,200,695,650,858,0.4099999964,23,0.009999999776,1021,1085,708,438,1759,1801,1801,1669,1361,747,,77982813,421,-156.7610097,71.28939773
777,Barrow,2004,2828,2074,377,169,172,693,663,868,0.4199999869,26,0.009999999776,998,1076,734,475,1681,1775,1770,1623,1318,773,,77432424,412,-156.7610097,71.28939773
849,Bethel,2001,3413,2495,433,231,321,1039,471,1765,0.7099999785,271,0.1099999994,1259,1236,696,417,2120,2166,2150,2080,1704,994,,74044239,233,-161.7717709,60.7911992
850,Bethel,2002,3520,2586,408,239,312,1089,538,1810,0.6999999881,272,0.1099999994,1324,1262,778,473,2155,2276,2254,2161,1739,940,,81189452,317,-161.7717709,60.7911992
851,Bethel,2003,3623,2686,411,244,325,1073,633,1928,0.7200000286,275,0.1000000015,1360,1326,858,524,2276,2330,2337,2277,1857,986,,88609454,324,-161.7717709,60.7911992
852,Bethel,2004,3643,2734,447,222,302,1078,685,1928,0.7099999785,273,0.1000000015,1391,1343,883,553,2350,2370,2353,2277,1883,1011,,94314212,318,-161.7717709,60.7911992
1815,Fairbanks,2001,17961,11116,2427,1283,1996,3972,1439,9223,0.8299999833,985,0.09000000358,5609,5507,3182,1956,9037,9702,9589,8827,7153,4986,,272877715,1898,-147.7212482,64.83969225
1816,Fairbanks,2002,18097,11039,2345,1275,1910,4073,1436,9061,0.8199999928,1027,0.09000000358,5613,5426,3327,2062,9051,9641,9541,8793,7156,4726,,276966554,2125,-147.7212482,64.83969225
