year,species,length_wet_cm,weight_wet_grams,weight_froz_grams,length_frozen_cm,,,,,,,,,,,,,,,,,
2001,Chinook,120,127,nd,nd,,,,,,,,,,,,,,,,,
2001,Chum,698,4108,nd,nd,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,1,111,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,10,102,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,9,100,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,12,114,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,9,111,,,,,,,,,,,,,,,,,
2001,Chum,112,14,13,111,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,19,126,,,,,,,,,,,,,,,,,
2001,Chum,142,30,27,140,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,14,112,,,,,,,,,,,,,,,,,
2001,Chum,105,11,10,105,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,15,117,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,14,109,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,18,130,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,17,118,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,11,112,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,14,112,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,13,109,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,16,114,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,14,112,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,16,120,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,15,117,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,11,108,,,,,,,,,,,,,,,,,
2001,Chum,115,14,14,112,,,,,,,,,,,,,,,,,
2001,Chum,135,23,22,132,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,16,110,,,,,,,,,,,,,,,,,
2001,Chum,110,11,12,113,,,,,,,,,,,,,,,,,
2001,Chum,118,17,15,117,,,,,,,,,,,,,,,,,
2001,Chum,117,14,15,110,,,,,,,,,,,,,,,,,
2001,Chum,112,10,10,105,,,,,,,,,,,,,,,,,
2001,Chum,115,16,14,115,,,,,,,,,,,,,,,,,
2001,Chum,112,11,12,111,,,,,,,,,,,,,,,,,
2001,Chum,130,22,21,130,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,12,109,,,,,,,,,,,,,,,,,
2001,Chum,111,12,12,108,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,14,109,,,,,,,,,,,,,,,,,
